key_figure,definition
"Taajama-aste, %, 2020","Taajama-aste tarkoittaa taajamissa asuvien osuutta väestöstä, jonka sijainti tunnetaan. Taajamaksi määritellään kaikki vähintään 200 asukkaan rakennusryhmät, joissa rakennusten välinen etäisyys ei yleensä ole 200 metriä suurempi. Lähde: Väestörakenne, Tilastokeskus."
"Väkiluku, 2021","Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt, joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Lähde: Väestörakenne, Tilastokeskus."
"Väkiluvun muutos edellisestä vuodesta, %, 2021","Väkiluvun muutos on väkiluvun muutos prosentteina vuoden aikana. Lähde: Väestörakenne, Tilastoksekus."
"Alle 15-vuotiaiden osuus väestöstä, %, 2021","Alle 15-vuotiaaiden osuus koko väestöstä. Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt, joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Ikä on henkilön ikä kokonaisina vuosina vuoden lopussa.  Lähde: Väestörakenne, Tilastokeskus."
"15-64 -vuotiaiden osuus väestöstä, %, 2021","15-64 -vuotiaiden osuus koko väestöstä. Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt, joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Ikä on henkilön ikä kokonaisina vuosina vuoden lopussa.  Lähde: Väestörakenne, Tilastokeskus."
"Yli 64-vuotiaiden osuus väestöstä, %, 2021","Yli 64-vuotiaiden osuus koko väestöstä. Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt, joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Ikä on henkilön ikä kokonaisina vuosina vuoden lopussa.  Lähde: Väestörakenne, Tilastokeskus."
"Ruotsinkielisten osuus väestöstä, %, 2021","Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt, joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Lähde: Väestörakenne, Tilastokeskus."
"Ulkomaan kansalaisten osuus väestöstä, %, 2021","Kansalaisuudella tarkoitetaan jonkin maan kansalaisena olemista. Yleensä kansalaisuus saadaan syntyessä, mutta se voidaan vaihtaa muutettaessa toiseen maahan asumaan. Henkilöllä voi olla myös useamman maan kansalaisuus (kansalaisuuslaki 2003/359 ja kansalaisuusasetus 1985/699). Jos henkilöllä on kahden maan kansalaisuus, joista toinen on Suomen, hän on tilastoissa Suomen kansalaisena. Jos Suomessa asuvalla ulkomaan kansalaisella on useita ulkomaiden kansalaisuuksia, hän on rekisterissä ja tilastoissa sen maan kansalaisena, jonka passilla hän on maahan tullut. Lähde: Väestörakenne, Tilastokeskus."
"Syntyneiden enemmyys, henkilöä, 2021","Syntyneiden enemmyys eli luonnollinen väestönlisäys tarkoittaa elävänä syntyneiden ja kuolleiden erotusta. Lähde: Väestötilastot, Tilastokeskus."
"Kuntien välinen muuttovoitto/-tappio, henkilöä, 2021","Kuntien välisellä muuttovoitolla/- tappiolla tarkoitetaan kuntien välistä nettomuuttoa. Kuntien välinen nettomuutto on kuntien välisen tulomuuton ja kuntien välisen lähtömuuton erotus kuntapohjaisten aluejakojen mukaan tietoja esitettäessä. Lähde: Muuttoliiketilasto, Tilastokeskus."
