key_figure,definition
Tätortsgrad,"Med tätortsgrad avses andelen tätortsinvånare av den befolkning vars geografiska läge man känner till.  Som tätort definieras alla byggnadsgrupper med minst 200 invånare, där avståndet mellan byggnaderna inte vanligen överstiger 200 meter. Källa: Befolkningsstruktur, Statistikcentralen."
Folkmängd,"Med befolkning avses den befolkning som är stadigvarande bosatt i området. De personer som enligt befolkningsdatasystemet hade hemvist i Finland i slutet av året, hör till befolkningen oberoende av medborgarskap. Källa: Befolkningsstruktur, Statistikcentralen."
Förändring i folkmängden från året innan,"Förändring i folkmängden i procent under året. Källa: Befolkningsstruktur, Statistikcentralen."
Andelen personer under 15 år av befolkningen,"Andelen personer under 15 år av hela befolkningen. Med befolkning avses den befolkning som är stadigvarande bosatt i området. De personer som enligt befolkningsdatasystemet hade hemvist i Finland i slutet av året, hör till befolkningen oberoende av medborgarskap. Ålder är personens ålder i hela år i slutet av året.  Källa: Befolkningsstruktur, Statistikcentralen."
Andelen 15–64-åringar av befolkningen,"Andelen 15–64-åringar av hela befolkningen. Med befolkning avses den befolkning som är stadigvarande bosatt i området. De personer som enligt befolkningsdatasystemet hade hemvist i Finland i slutet av året, hör till befolkningen oberoende av medborgarskap. Ålder är personens ålder i hela år i slutet av året.  Källa: Befolkningsstruktur, Statistikcentralen."
Andelen personer över 64 år av befolkningen,"Andelen personer över 64 år av hela befolkningen. Med befolkning avses den befolkning som är stadigvarande bosatt i området. De personer som enligt befolkningsdatasystemet hade hemvist i Finland i slutet av året, hör till befolkningen oberoende av medborgarskap. Ålder är personens ålder i hela år i slutet av året.  Källa: Befolkningsstruktur, Statistikcentralen."
Andelen svenskspråkiga av befolkningen,"Med befolkning avses den befolkning som är stadigvarande bosatt i området. De personer som enligt befolkningsdatasystemet hade hemvist i Finland i slutet av året, hör till befolkningen oberoende av medborgarskap. Källa: Befolkningsstruktur, Statistikcentralen."
Andelen utländska medborgare av befolkningen,"Med medborgarskap avses en persons medborgarskap i ett visst land. Vanligen är nationaliteten något man får via födseln, men den kan ändras via flyttning till ett annat land. En person kan också vara medborgare i flera länder (se medborgarskapslagen 359/2003 och medborgarskapsförordningen 699/1985). Om en person är medborgare i två länder, av vilka det ena är Finland, ingår han/hon i statistiken som finsk medborgare. Om en utländsk medborgare som bor i Finland har medborgarskap i flera andra länder, ingår han/hon i statistiken som medborgare i det land som utfärdat det pass med vilket han/hon kommit till Finland. Källa: Befolkningsstruktur, Statistikcentralen."
Födelseöverskott,"Födelseöverskott, dvs. den naturliga folkökningen, avser skillnaden mellan levande födda och döda. Källa: Befolkningsstatistik, Statistikcentralen."
Inflyttningsöverskott/-underskott mellan kommunerna,"Med inflyttningsöverskott/-underskott mellan kommunerna avses nettoflyttning mellan kommuner. Nettoflyttning mellan kommuner är skillnaden mellan inflyttning mellan kommuner och utflyttning mellan kommuner vid presentation av uppgifter enligt kommunbaserade områdesindelningar. Källa: Statistiken över flyttningsrörelsen, Statistikcentralen."
Antal familjer,"En familj utgörs av sammanboende gifta eller samboende par eller sammanboende personer som registrerat sitt partnerskap och av deras barn, av endera föräldern tillsammans med sina barn, samt av gifta par utan barn samt personer som registrerat sitt partnerskap och som inte har barn. Under perioden 1.3.2002 till 28.2.2017 har personer av samma kön kunnat registrera sitt partnerskap. Ändringen av äktenskapslagen trädde i kraft 1.3.2017 och sedan dess har personer av samma kön kunnat ingå äktenskap. Samtidigt upphörde registreringen av partnerskap mellan samma kön. Källa: Familjestatistiken, Statistikcentralen."
Antal bostadshushåll,"Alla de personer som stadigvarande bor i samma bostad bildar ett bostadshushåll. Enligt det centrala befolkningsregistret bildar personer som stadigvarande bor på anstalt, bostadslösa, personer som bor utomlands och personer som är på okänd ort inga hushåll. Källa: Bostäder och boendeförhållanden, Statistikcentralen."
Andelen bostadshushåll som bor i rad- eller småhus,"Andelen bostadshushåll som bor i rad- eller småhus av alla bostadshushåll. Alla de personer som stadigvarande bor i samma bostad bildar ett bostadshushåll. Enligt befolkningsdatasystem bildar personer som stadigvarande bor på anstalt, bostadslösa, personer som bor utomlands och personer som är på okänd ort inga hushåll. Radhus är bostadsbyggnader som består av minst tre sammanbyggda småhus. Med småhus avses egnahemshus, parhus samt egnahemshus med två våningar, som har två bostäder. Källa: Bostäder och boendeförhållanden, Statistikcentralen."
Andelen bostadshushåll som bor i hyresbostäder,"Andelen bostadshushåll som bor i hyresbostäder av alla bostadshushåll. Alla de personer som stadigvarande bor i samma bostad bildar ett bostadshushåll. Enligt befolkningsdatasystem bildar personer som stadigvarande bor på anstalt, bostadslösa, personer som bor utomlands och personer som är på okänd ort inga hushåll. Med hyresbostad avses en bostad som den boende besitter med stöd av ett hyresavtal varvid hyresgästen betalar hyra för användning av lägenheten och därtillhörande förmåner. Som hyresbostäder klassificeras aravahyresbostäder, räntestödshyres- och andra hyresbostäder. Källa: Bostäder och boendeförhållanden, Statistikcentralen."
Andelen personer som avlagt examen på minst andra stadiet av befolkningen som fyllt 15 år,"Med personer som avlagt examen på minst andra stadiet avses de som avlagt studentexamen, yrkesinriktad grundexamen, yrkes- och specialyrkesexamen samt examen på högre nivå. Källa: Befolkningens utbildningsstruktur, Statistikcentralen."
Andelen personer som avlagt examen på högre nivå av befolkningen som fyllt 15 år,"Till personer som avlagt examen på högre nivå räknas de som avlagt examen på lägsta högre nivå, lägre och högre högskolenivå och forskarutbildningsnivå. Källa: Befolkningens utbildningsstruktur, Statistikcentralen."
Inom området bosatt sysselsatt arbetskraft,"Med inom området bosatt sysselsatt arbetskraft avses samtliga sysselsatta som bor inom området, oberoende av var de arbetar. Den inom området bosatta sysselsatta arbetskraften utgör den s.k. sysselsatta nattbefolkningen. Källa: Sysselsättningsstatistik, Statistikcentralen."
