"Region 2021","Degree of urbanisation, %, 2020","Population, 2021","Population change from the previous year, %, 2021","Share of persons aged under 15 of the population, %, 2021","Share of persons aged 15 to 64 of the population, %, 2021","Share of persons aged over 64 of the population, %, 2021","Share of Swedish-speakers of the population, %, 2021","Share of foreign citizens of the population, %, 2021","Excess of births, persons, 2021","Intermunicipal migration gain/loss, persons, 2021","Number of families, 2020","Number of household-dwelling units, 2021","Share of household-dwelling units living in terraced houses and detached houses, %, 2021","Share of household-dwelling units living in rental dwellings, %, 2020","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2020","Share of persons aged 15 or over with tertiary level qualifications, %, 2020","Employed labour force resident in the area, 2020","Employment rate, %, 2020","Share of persons working in their municipality of residence, %, 2020","Proportion of the unemployed among the labour force, %, 2020","Proportion of pensioners of the population, %, 2020","Economic dependency ratio, 2020","Number of workplaces in the area, 2020","Share of workplaces in primary production, %, 2020","Share of workplaces in secondary production, %, 2020","Share of workplaces in services, %, 2020","Workplace self-sufficiency, 2020","Annual contribution margin, EUR per capita, 2020","Loan stock, EUR per capita, 2020","Group loan stock, EUR per capita, 2020","Educational and cultural activities, total, operating net costs, EUR per capita, 2020","Social and health care activities, total, operating net costs, EUR per capita, 2020"
"WHOLE COUNTRY",86.5,5548241,0.3,15.4,61.6,23.1,5.2,5.3,-8065,0,1467653,2793636,38.2,34.4,74.2,32.6,2284673,69.5,64.9,13.3,26.0,142.2,2284665,2.7,20.5,75.4,100.0,738.8,3448.4,7453.8,2078.8,3622.3
"Akaa",87.9,16467,0.5,16.3,58.9,24.8,0.2,1.9,-15,64,4521,7931,72.2,22.2,71.1,25.5,6571,71.5,43.8,12.7,27.8,149.4,4432,3.1,33.8,61.4,67.4,1066.9,3199.6,4623.2,1801.7,3252.7
"Alajärvi",61.6,9311,-1.1,16.9,53.5,29.5,0.1,2.7,-45,-93,2577,4076,91.9,17.7,67.9,22.3,3301,67.9,75.4,12.1,33.3,185.3,3302,11.5,27.2,59.4,100.0,599.7,2942.5,5437.3,2322.5,4142.8
"Alavieska",51.6,2491,-1.0,19.4,54.9,25.7,0.2,0.6,-6,-27,666,1088,97.9,19.8,69.4,18.7,976,73.6,45.4,11.3,29.0,157.9,704,22.4,21.3,54.4,72.1,783.1,3973.0,4469.2,2028.2,4153.8
"Alavus",60.8,11197,-1.2,16.4,53.9,29.7,0.1,1.3,-70,-68,3071,5244,86.3,22.5,67.6,19.9,4206,70.7,75.8,9.7,33.0,169.4,4056,9.0,21.0,68.5,96.4,456.8,4029.7,7135.7,1990.8,4354.0
"Asikkala",65.0,8033,-0.3,13.3,52.4,34.3,0.2,1.9,-72,27,2313,3996,77.3,20.6,70.4,27.0,2872,70.4,49.3,12.1,37.9,180.6,2282,8.6,30.7,57.9,79.5,1072.8,241.3,1623.5,1752.7,3559.3
"Askola",54.0,4847,-0.6,18.4,60.7,20.9,3.7,2.1,1,-37,1383,2111,96.6,13.6,70.2,22.7,2173,77.2,33.6,9.8,23.3,124.5,1364,7.8,33.9,56.1,62.8,845.6,5124.4,6696.4,2209.7,3248.3
"Aura",70.5,3955,-0.1,18.8,59.5,21.7,0.6,2.0,6,-12,1143,1805,94.3,14.0,71.2,23.7,1774,78.5,29.7,9.3,23.8,123.2,1160,5.3,29.9,63.0,65.4,790.9,3115.2,3688.3,1764.6,3209.4
"Brändö",0.0,449,0.0,8.9,57.2,33.9,72.2,9.6,-5,0,117,228,96.5,17.5,65.5,32.0,204,77.1,63.7,6.8,33.6,120.1,155,20.6,8.4,64.5,76.0,260.6,327.4,0.0,2452.1,2536.7
"Eckerö",42.6,933,-2.6,14.0,58.0,28.0,88.2,12.2,-1,-27,275,444,94.6,13.6,66.3,21.1,405,71.8,36.8,12.5,27.9,136.5,236,21.2,15.3,57.6,58.3,502.1,565.8,0.0,2128.4,2851.8
"Enonkoski",39.2,1362,-0.5,12.1,48.8,39.1,0.1,1.8,-13,6,392,707,95.3,21.9,66.2,18.1,470,70.4,56.4,13.9,41.9,191.3,387,18.3,7.0,73.4,82.3,1097.2,0.0,824.7,1553.0,4740.0
"Enontekiö",29.2,1789,-1.1,11.9,57.6,30.6,0.8,3.0,-19,0,483,835,96.8,21.2,72.8,22.8,676,63.6,74.1,21.6,32.6,167.5,564,11.9,11.7,73.2,83.4,639.9,2762.7,5577.4,2677.0,4950.2
"Espoo",99.3,297132,1.5,18.4,66.4,15.2,6.7,13.0,1594,91,78406,136194,38.5,39.5,76.6,47.6,133254,71.8,48.0,11.5,16.7,119.7,122603,0.1,16.5,81.6,92.0,1039.7,4236.7,14637.8,2515.2,2866.7
"Eura",72.6,11417,-0.6,14.9,56.4,28.7,0.2,3.2,-83,-9,3185,5570,87.7,18.2,66.6,22.2,4587,74.7,54.8,11.2,31.9,150.3,3870,8.1,35.4,55.0,84.4,690.2,3448.7,5253.5,1912.7,3740.3
"Eurajoki",63.4,9334,-1.2,16.7,56.6,26.7,0.3,2.9,-54,-41,2741,4118,93.9,12.6,70.7,27.3,3848,75.4,44.2,9.4,29.2,145.6,3806,4.0,50.2,45.1,98.9,408.2,1106.1,1696.4,2238.9,3906.8
"Evijärvi",35.9,2404,-0.2,16.2,53.9,29.9,2.0,3.0,-16,7,667,1103,94.7,16.1,65.3,17.7,935,73.4,60.5,7.7,33.3,157.5,807,22.2,26.8,49.2,86.3,122.5,4028.2,5443.5,2299.4,4518.7
"Finström",42.5,2638,1.3,17.8,60.0,22.2,89.9,11.6,1,5,750,1156,90.8,17.4,64.3,20.5,1182,78.1,32.1,8.2,23.5,120.2,899,9.3,28.0,59.0,76.1,312.3,2165.2,2609.7,2616.6,1863.6
"Forssa",91.2,16573,-1.4,11.7,56.1,32.2,0.3,4.4,-169,-102,4357,9242,45.3,32.5,68.2,22.9,6139,66.9,71.8,13.1,36.0,173.7,7784,2.0,34.2,62.8,126.8,647.3,3143.7,4027.8,1719.2,4048.5
"Föglö",0.0,501,-4.8,13.8,53.9,32.3,84.2,18.8,-4,-18,124,239,92.9,20.2,57.3,17.4,232,79.8,67.7,3.7,29.5,126.7,218,8.3,4.1,85.3,94.0,-66.5,813.7,0.0,2692.0,3233.8
"Geta",0.0,505,-1.2,15.8,60.8,23.4,85.5,14.5,2,-2,141,226,96.5,13.7,61.2,18.8,231,74.0,42.0,10.5,23.1,121.2,132,15.9,13.6,59.8,57.1,236.8,1700.6,0.0,2395.3,2984.3
"Haapajärvi",69.9,6802,-1.4,17.8,56.0,26.2,0.1,1.2,-8,-105,1798,3165,83.1,24.2,67.9,20.9,2573,70.1,76.6,11.5,30.4,168.0,2730,9.2,24.4,65.2,106.1,529.0,6068.9,9184.0,2155.2,4520.4
"Haapavesi",59.9,6613,-0.8,19.5,55.5,25.0,0.0,2.2,-34,-66,1694,2916,91.8,21.0,70.1,17.6,2383,68.5,76.2,13.2,29.1,179.8,2531,12.3,30.5,55.9,106.2,485.4,4649.9,6462.1,2268.9,4180.7
"Hailuoto",52.6,950,0.1,12.1,48.2,39.7,0.0,1.4,-12,10,256,492,97.6,15.4,77.7,33.1,332,72.8,54.2,9.8,43.0,185.8,226,23.9,11.1,62.4,68.1,534.2,2364.6,4181.2,1964.2,4977.9
"Halsua",42.8,1083,-1.8,13.6,50.9,35.5,0.6,3.9,-14,-7,310,506,98.0,21.4,61.0,17.6,402,72.5,66.2,10.9,38.4,174.4,349,29.5,23.8,45.3,86.8,913.0,4244.8,12410.7,2082.5,4464.2
"Hamina",87.7,19702,-0.9,12.7,56.7,30.6,0.3,3.6,-182,0,5541,10284,72.0,24.3,71.4,25.1,7470,68.6,55.2,14.4,35.2,166.1,6105,3.1,20.5,74.6,81.7,1004.0,4256.2,8526.0,2025.3,4290.6
"Hammarland",41.7,1619,1.3,17.1,60.4,22.5,88.3,13.3,0,18,469,718,93.0,20.2,64.4,20.3,710,76.2,26.1,8.4,23.3,125.2,321,15.3,17.4,59.8,45.2,304.6,625.4,0.0,2449.0,1998.7
"Hankasalmi",46.8,4683,-2.1,13.9,53.0,33.1,0.2,1.3,-52,-44,1290,2321,95.5,20.8,69.2,20.2,1663,67.4,59.2,14.1,37.3,187.6,1340,15.7,19.8,63.2,80.6,932.2,1308.7,4111.9,1851.9,4602.0
"Hanko",96.4,7979,-0.8,11.8,54.6,33.6,43.1,3.5,-65,-30,2201,4247,64.4,25.9,62.4,23.0,3045,71.2,83.5,13.2,36.7,164.1,3395,0.3,35.0,63.4,111.5,1001.7,7635.3,9473.4,1797.1,4277.0
"Harjavalta",93.1,6785,-1.2,13.4,54.2,32.4,0.2,3.1,-66,-38,1841,3622,72.2,24.5,68.4,23.4,2437,68.0,57.0,13.7,36.8,181.9,3644,1.0,44.3,53.8,149.5,556.1,2849.3,3821.2,1806.7,4673.8
"Hartola",53.6,2621,-1.3,8.9,49.3,41.9,0.1,2.7,-39,-2,714,1479,86.7,21.2,61.6,18.5,857,64.9,66.6,13.9,45.3,209.8,854,17.0,23.9,57.0,99.6,1195.1,4244.4,9859.1,1749.5,4777.4
"Hattula",75.8,9405,0.2,16.9,59.0,24.1,0.4,1.2,-9,25,2696,4279,85.5,15.9,76.3,31.5,3999,75.6,30.0,9.2,26.8,134.8,2757,3.6,18.0,76.6,68.9,547.0,3360.4,5014.5,1765.5,3005.6
"Hausjärvi",64.8,8143,-0.4,16.9,60.0,23.1,0.5,2.6,-19,-26,2363,3775,89.4,15.9,72.1,25.0,3549,75.4,28.5,9.0,26.4,130.3,1830,9.5,24.1,63.7,51.6,628.0,3612.0,4015.9,1932.1,3283.2
"Heinola",91.1,18344,-0.8,10.6,53.3,36.1,0.2,2.9,-235,50,4989,10259,51.5,31.3,68.5,23.7,6239,64.6,69.9,17.9,39.7,196.5,5879,2.0,33.2,63.6,94.2,1110.0,5371.7,6265.9,1433.6,3996.4
"Heinävesi",43.0,3136,-1.9,9.8,49.6,40.5,0.3,2.2,-48,-23,858,1731,84.2,21.0,63.8,21.5,1022,64.7,77.3,16.2,45.2,212.7,993,11.6,22.7,63.3,97.2,806.0,4523.5,5609.8,1905.5,5542.6
"Helsinki",99.9,658457,0.2,14.3,68.1,17.6,5.6,10.3,1534,-4210,161282,347146,13.1,49.4,77.0,45.1,301908,69.0,77.3,14.1,19.4,117.6,398042,0.1,10.3,88.3,131.8,1314.3,1510.1,8451.7,2206.2,3396.6
"Hirvensalmi",34.9,2131,-1.2,10.3,51.6,38.2,0.4,1.8,-24,0,603,1119,95.0,18.0,66.0,20.6,744,66.3,51.6,14.6,41.8,189.8,586,15.9,27.8,53.6,78.8,523.2,15.3,3645.6,1535.7,4852.5
"Hollola",78.8,23090,-0.7,16.7,57.5,25.9,0.3,1.8,-71,-122,6634,10705,71.5,19.8,73.1,30.4,9252,73.3,31.2,12.7,28.7,151.3,5864,5.8,25.7,65.9,63.4,1018.4,1953.9,2682.8,1969.2,3286.5
"Huittinen",71.4,9870,-0.7,13.9,55.8,30.2,0.2,3.1,-81,-7,2697,5093,80.5,23.0,69.4,23.3,3966,73.3,67.9,9.4,33.5,150.6,4063,9.2,26.0,63.5,102.4,823.3,2904.2,3382.2,1823.8,3765.7
"Humppila",61.7,2166,-0.4,14.2,55.1,30.7,0.1,1.5,-15,5,597,1089,81.0,15.9,67.7,19.7,852,72.3,40.7,11.4,33.2,155.2,543,15.1,21.7,60.6,63.7,420.4,2403.4,3332.6,1688.1,3797.1
"Hyrynsalmi",55.5,2139,-2.7,9.2,47.4,43.4,0.2,1.1,-31,-28,622,1147,92.9,18.0,64.9,16.1,697,63.2,60.7,14.9,47.8,215.5,534,8.6,10.3,79.6,76.6,392.5,1263.3,5429.7,1634.8,5915.0
"Hyvinkää",94.0,46880,0.7,14.9,61.8,23.3,0.9,4.5,-65,197,12550,23907,45.7,33.5,73.1,31.5,19976,72.0,53.3,12.8,26.1,133.2,19248,0.5,26.2,72.2,96.4,454.4,3298.1,6856.5,1923.2,3811.6
"Hämeenkyrö",61.2,10337,-0.1,16.8,58.1,25.1,0.2,1.3,-19,-19,2886,4831,84.0,19.2,72.3,24.0,4151,72.0,42.7,11.3,29.1,149.2,2825,7.6,25.2,64.3,68.1,695.8,4616.0,6354.1,2011.1,3351.2
"Hämeenlinna",88.2,67971,0.2,14.2,59.1,26.7,0.4,3.7,-256,201,18046,35774,53.1,33.6,74.8,32.5,27150,70.1,71.1,13.1,29.7,149.9,27721,2.6,20.2,76.0,102.1,488.2,4448.1,7509.5,1718.4,3786.7
"Ii",78.1,9912,0.6,21.8,56.5,21.7,0.2,0.5,-14,67,2638,4173,95.3,17.5,72.3,23.2,3570,68.9,44.6,14.7,25.8,175.9,2379,7.1,22.5,68.3,66.6,515.6,4898.8,7036.5,2451.9,3666.7
"Iisalmi",75.2,20958,-0.8,14.7,57.3,28.0,0.0,2.2,-147,-58,5722,10928,55.2,33.3,74.1,25.1,7881,66.9,78.3,16.6,32.1,168.0,8602,4.2,25.0,69.6,109.1,646.8,2903.9,5217.3,2005.1,4002.5
"Iitti",59.5,6559,-1.0,13.9,53.9,32.2,0.2,1.4,-65,-3,1822,3378,84.5,23.4,68.9,24.2,2450,70.7,51.0,11.8,36.0,170.4,1924,9.1,35.5,53.0,78.5,952.9,1259.0,2637.4,1650.3,3926.9
"Ikaalinen",59.2,6877,0.2,13.4,53.5,33.0,0.2,1.8,-42,36,1882,3525,78.0,23.1,70.7,25.0,2343,65.7,57.0,15.5,36.6,193.0,1969,10.7,17.8,69.0,84.0,859.9,3518.4,6293.2,1586.1,4074.0
"Ilmajoki",76.7,12366,0.6,19.4,58.1,22.6,0.2,1.1,23,5,3489,5448,93.3,18.2,74.9,26.8,5230,76.6,39.5,8.4,25.7,135.1,3362,10.8,20.1,67.2,64.3,448.1,4532.3,6754.1,2241.8,3469.7
"Ilomantsi",53.4,4643,-2.2,8.8,48.6,42.5,0.2,2.1,-86,-38,1299,2567,87.6,21.3,64.7,16.0,1391,59.8,76.7,21.6,48.1,241.4,1356,9.4,14.9,74.5,97.5,863.1,1998.7,4336.9,1837.2,5450.2
"Imatra",97.5,25655,-1.6,11.7,56.5,31.8,0.2,4.0,-254,-251,7054,14221,58.9,29.1,70.5,23.6,8779,61.8,69.1,20.6,36.3,197.0,8811,0.8,30.5,67.2,100.4,489.9,3897.3,9461.2,1685.1,4130.5
"Inari",66.3,7008,2.1,12.0,61.0,27.0,0.4,3.1,-36,155,1851,3342,88.5,31.6,73.0,25.1,2777,67.5,86.1,17.5,31.4,147.1,2705,6.4,8.6,82.9,97.4,882.8,1768.6,6662.8,2261.0,4616.4
