"Region 2021","Degree of urbanisation, %, 2020","Population, 2021","Population change from the previous year, %, 2021","Share of persons aged under 15 of the population, %, 2021","Share of persons aged 15 to 64 of the population, %, 2021","Share of persons aged over 64 of the population, %, 2021","Share of Swedish-speakers of the population, %, 2021","Share of foreign citizens of the population, %, 2021","Excess of births, persons, 2021","Intermunicipal migration gain/loss, persons, 2021","Number of families, 2020","Number of household-dwelling units, 2021","Share of household-dwelling units living in terraced houses and detached houses, %, 2021","Share of household-dwelling units living in rental dwellings, %, 2020","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2020","Share of persons aged 15 or over with tertiary level qualifications, %, 2020","Employed labour force resident in the area, 2020","Employment rate, %, 2020","Share of persons working in their municipality of residence, %, 2020","Proportion of the unemployed among the labour force, %, 2020","Proportion of pensioners of the population, %, 2020","Economic dependency ratio, 2020","Number of workplaces in the area, 2020","Share of workplaces in primary production, %, 2020","Share of workplaces in secondary production, %, 2020","Share of workplaces in services, %, 2020","Workplace self-sufficiency, 2020","Annual contribution margin, EUR per capita, 2020","Loan stock, EUR per capita, 2020","Group loan stock, EUR per capita, 2020","Educational and cultural activities, total, operating net costs, EUR per capita, 2020","Social and health care activities, total, operating net costs, EUR per capita, 2020"
"Helsinki sub-regional unit",97.0,1597042,0.7,16.2,66.2,17.6,5.3,10.1,4665,-2790,412047,787265,21.4,41.5,74.8,40.5,720283,71.0,57.2,12.9,19.5,120.1,755282,0.3,15.6,82.6,104.9,994.4,2974.0,9108.0,2251.7,3226.1
"Raasepori sub-regional unit",76.4,40816,-0.2,13.9,57.2,28.9,58.4,3.8,-197,8,11310,20491,56.8,26.2,68.1,28.9,16419,72.7,69.3,11.7,31.7,149.0,14376,3.4,24.8,69.8,87.6,742.7,4545.5,5653.4,2084.3,3959.0
"Porvoo sub-regional unit",79.9,59660,0.8,16.6,61.0,22.4,24.9,4.7,-72,359,16430,28064,52.3,27.0,71.8,31.9,25340,73.5,58.8,12.3,24.9,133.6,22540,2.2,30.3,65.8,89.0,1057.5,3232.8,6639.3,2273.4,3354.0
"Loviisa sub-regional unit",67.7,17223,-0.8,13.4,56.4,30.2,38.2,4.0,-139,-38,4819,8741,62.5,26.0,66.7,24.4,6650,69.6,56.4,16.0,33.1,161.1,5435,7.9,31.4,58.3,81.7,788.3,5293.9,7130.5,2140.2,3747.8
"Åboland-Turunmaa sub-regional unit",62.5,21700,-0.1,13.9,55.3,30.7,58.7,3.2,-109,51,6202,10619,68.6,19.1,71.5,32.2,8631,74.3,63.2,9.5,33.5,151.6,7132,5.2,25.8,66.5,82.6,594.6,2708.2,3541.5,2300.4,4001.2
"Salo sub-regional unit",72.5,59963,-0.4,13.4,57.4,29.2,1.1,4.2,-411,7,16445,30625,54.4,24.3,68.3,25.6,23082,69.5,71.1,14.0,32.6,160.8,20040,6.2,25.2,66.9,86.8,606.8,2105.3,3225.5,1884.3,3857.8
"Turku sub-regional unit",93.9,337588,0.7,14.6,63.6,21.7,4.1,5.5,-23,1090,88197,175331,27.8,38.1,76.6,35.1,141529,68.4,55.9,13.7,24.6,136.8,141813,1.2,18.7,78.7,100.2,461.6,3334.2,5990.1,1951.1,3447.4
"Vakka-Suomi sub-regional unit",67.3,30823,0.2,14.1,56.9,29.1,0.4,5.9,-177,82,8495,15552,56.4,24.1,69.2,22.1,12767,75.0,66.7,9.9,32.5,140.9,13492,6.4,47.5,44.9,105.7,855.8,3243.2,5111.6,1920.5,3798.8
"Loimaa sub-regional unit",61.0,33403,-0.5,15.3,55.9,28.8,0.4,3.4,-206,-75,9200,16457,66.4,18.9,68.0,22.7,13093,72.2,56.8,11.3,32.0,156.5,11309,11.7,28.3,58.3,86.4,771.4,2270.9,2984.2,1753.4,3788.9
"Rauma sub-regional unit",83.2,66298,-0.5,14.5,57.8,27.6,0.3,5.0,-320,-311,18481,33236,56.0,24.3,70.4,27.3,26968,72.7,66.8,11.2,30.4,147.0,27242,3.0,36.2,59.4,101.0,799.3,1647.9,3176.8,1972.9,3756.3
